<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.11	11:30:00	98058	98267	97862	98163	94497	320734	1
2020.05.11	11:45:00	98163	98481	98009	98150	113918	365344	1
2020.05.11	12:00:00	98150	98322	97764	97973	104206	343231	1
2020.05.11	12:15:00	97973	97973	97678	97832	83796	295187	1
2020.05.11	12:30:00	97832	98077	97783	97979	68771	244131	1
2020.05.11	12:45:00	97985	98107	97875	97973	53942	180538	1
2020.05.11	13:00:00	97973	98156	97960	98126	46905	153939	1
2020.05.11	13:15:00	98120	98579	98071	98328	81727	256548	1
2020.05.11	13:30:00	98334	98536	98304	98481	50408	166893	1
2020.05.11	13:45:00	98481	98628	98255	98273	70371	232565	1
2020.05.11	14:00:00	98279	98831	98101	98726	103837	343201	1
2020.05.11	14:15:00	98720	98788	98481	98555	67539	228621	1
2020.05.11	14:30:00	98549	98635	98279	98328	66128	212213	1
2020.05.11	14:45:00	98328	98414	98132	98163	70867	241373	1
2020.05.11	15:00:00	98163	98248	97734	97789	99089	338182	1
2020.05.11	15:15:00	97795	97930	97550	97605	87129	317310	1
2020.05.11	15:30:00	97605	97856	97550	97685	68360	239215	1
2020.05.11	15:45:00	97685	97924	97642	97752	56407	189938	1
2020.05.11	16:00:00	97752	97973	97660	97764	68822	233825	1
2020.05.11	16:15:00	97764	97838	97127	97507	74948	275824	1
2020.05.11	16:30:00	97507	97556	96968	97059	91922	309041	1
2020.05.11	16:45:00	97059	97176	96814	96857	76173	269871	1
2020.05.11	17:00:00	96845	96955	96778	96888	40947	146083	1
2020.05.11	17:15:00	96888	97090	96661	96808	45806	147663	1
2020.05.11	17:30:00	96808	96845	96532	96759	38249	123087	1
2020.05.11	17:45:00	96765	97004	96496	96833	26247	79506	1
2020.05.12	09:00:00	97507	98016	97446	97936	83967	212148	1
2020.05.12	09:15:00	97936	97948	97286	97544	116866	323757	1
2020.05.12	09:30:00	97544	97801	97115	97783	133245	353524	1
2020.05.12	09:45:00	97783	98034	97727	97838	88202	265268	1
2020.05.12	10:00:00	97838	98101	97513	97764	132771	372693	1
2020.05.12	10:15:00	97764	98169	97537	98114	120216	378466	1
2020.05.12	10:30:00	98114	98328	97856	98052	154208	475372	1
2020.05.12	10:45:00	98046	98114	97556	98016	139101	433093	1
2020.05.12	11:00:00	98009	98230	97844	98187	94315	306730	1
2020.05.12	11:15:00	98181	98555	98181	98383	108254	341912	1
2020.05.12	11:30:00	98377	98604	98340	98451	89522	303117	1
2020.05.12	11:45:00	98451	98543	98212	98395	87604	285725	1
2020.05.12	12:00:00	98395	98512	98236	98395	71846	248155	1
2020.05.12	12:15:00	98395	98475	98095	98120	82027	281078	1
2020.05.12	12:30:00	98120	98236	98077	98132	44476	155168	1
2020.05.12	12:45:00	98132	98420	98016	98273	63821	213605	1
2020.05.12	13:00:00	98279	98426	98126	98236	56744	195563	1
2020.05.12	13:15:00	98236	98383	98169	98310	36416	128178	1
2020.05.12	13:30:00	98310	98426	98248	98291	39783	140490	1
2020.05.12	13:45:00	98291	98481	98224	98224	48567	166553	1
2020.05.12	14:00:00	98224	98340	98095	98114	60602	205986	1
2020.05.12	14:15:00	98107	98126	97623	97776	109353	366348	1
2020.05.12	14:30:00	97776	97911	97519	97580	86080	301242	1
2020.05.12	14:45:00	97580	97593	96551	96661	147167	527600	1
2020.05.12	15:00:00	96661	97004	96226	96263	132073	497566	1
2020.05.12	15:15:00	96263	96808	96140	96643	102627	362910	1
2020.05.12	15:30:00	96643	97127	96410	96906	101014	349505	1
2020.05.12	15:45:00	96900	96998	96698	96839	59465	206559	1
2020.05.12	16:00:00	96839	97029	96471	96532	84800	298801	1
2020.05.12	16:15:00	96532	96937	96410	96545	97116	332352	1
2020.05.12	16:30:00	96551	96679	95748	95913	101663	371861	1
2020.05.12	16:45:00	95913	96054	95031	95111	121310	452923	1
2020.05.12	17:00:00	95111	95846	95074	95631	69353	240395	1
2020.05.12	17:15:00	95638	95711	95301	95405	44017	142840	1
2020.05.12	17:30:00	95405	95546	95080	95178	38569	121569	1
2020.05.12	17:45:00	95166	95546	95117	95117	24068	80485	1
2020.05.13	09:00:00	96833	96955	96306	96551	81716	201522	1
2020.05.13	09:15:00	96545	96667	96489	96569	44136	118247	1
2020.05.13	09:30:00	96569	96802	96189	96416	104014	269519	1
2020.05.13	09:45:00	96416	96784	96385	96471	85480	239623	1
2020.05.13	10:00:00	96477	96906	96116	96661	189730	573241	1
2020.05.13	10:15:00	96649	96747	96342	96679	93594	291796	1
2020.05.13	10:30:00	96686	97035	95981	96195	185226	605714	1
2020.05.13	10:45:00	96195	96404	95779	96073	139175	422702	1
2020.05.13	11:00:00	96079	96465	96030	96134	108582	339161	1
2020.05.13	11:15:00	96134	96355	95981	96306	83152	270993	1
2020.05.13	11:30:00	96299	96661	95785	95883	141020	480417	1
2020.05.13	11:45:00	95883	96060	95644	95717	117514	390728	1
2020.05.13	12:00:00	95717	95969	95570	95956	97946	329337	1
2020.05.13	12:15:00	95962	96054	95282	95582	114066	378907	1
2020.05.13	12:30:00	95582	95705	95153	95209	91944	302567	1
2020.05.13	12:45:00	95202	95288	94669	94902	118612	409105	1
2020.05.13	13:00:00	94896	94951	94675	94853	69578	261468	1
2020.05.13	13:15:00	94859	95239	94590	94982	104619	367690	1
2020.05.13	13:30:00	94982	95153	94859	94933	63227	217475	1
2020.05.13	13:45:00	94933	95080	94761	94878	57512	208219	1
2020.05.13	14:00:00	94872	95331	94700	95251	80131	294343	1
2020.05.13	14:15:00	95251	95803	95184	95766	111708	401908	1
2020.05.13	14:30:00	95766	95883	95589	95699	75755	276529	1
2020.05.13	14:45:00	95693	95730	95258	95478	82317	285731	1
2020.05.13	15:00:00	95472	95644	95251	95472	80252	303884	1
2020.05.13	15:15:00	95466	95680	95392	95589	61836	225028	1
2020.05.13	15:30:00	95589	95631	95319	95380	57931	197444	1
2020.05.13	15:45:00	95386	95576	95331	95429	55632	190979	1
2020.05.13	16:00:00	95423	95662	95190	95264	90442	330812	1
2020.05.13	16:15:00	95258	95362	94878	95068	95702	350945	1
2020.05.13	16:30:00	95074	95472	94976	95350	74166	276802	1
2020.05.13	16:45:00	95350	95638	95282	95399	69079	264627	1
2020.05.13	17:00:00	95405	95932	95331	95638	62275	220869	1
2020.05.13	17:15:00	95644	95870	95582	95766	32349	103249	1
2020.05.13	17:30:00	95766	95895	95638	95791	27054	87827	1
2020.05.13	17:45:00	95791	96220	95785	96220	21361	69624	1
2020.05.14	09:00:00	95019	95037	94443	94645	91859	273522	1
2020.05.14	09:15:00	94645	94767	94308	94357	91633	262712	1
2020.05.14	09:30:00	94351	94430	94032	94185	92694	254971	1
2020.05.14	09:45:00	94191	94528	94148	94522	75821	218882	1
2020.05.14	10:00:00	94516	94645	94283	94522	104860	330131	1
2020.05.14	10:15:00	94522	94688	94056	94087	120845	388060	1
2020.05.14	10:30:00	94093	94130	92776	93033	237145	793843	1
2020.05.14	10:45:00	93033	93303	92880	92898	111891	409355	1
2020.05.14	11:00:00	92898	93450	92763	93296	116244	396147	1
2020.05.14	11:15:00	93296	93450	93045	93076	100519	369484	1
2020.05.14	11:30:00	93076	93701	93064	93468	114177	428669	1
2020.05.14	11:45:00	93468	94142	93437	93952	116168	415617	1
2020.05.14	12:00:00	93952	94559	93952	94522	120583	412704	1
2020.05.14	12:15:00	94522	95147	94142	94363	141455	529932	1
2020.05.14	12:30:00	94363	94473	93983	94050	90282	330191	1
2020.05.14	12:45:00	94044	94443	93977	94289	72960	273731	1
2020.05.14	13:00:00	94289	94547	94167	94393	69582	278437	1
2020.05.14	13:15:00	94387	94865	94271	94773	67476	254192	1
2020.05.14	13:30:00	94773	95123	94639	94835	79176	308875	1
2020.05.14	13:45:00	94841	95558	94694	95546	91240	343524	1
2020.05.14	14:00:00	95546	95748	95380	95497	86097	328027	1
2020.05.14	14:15:00	95497	96048	95380	96036	94177	351172	1
2020.05.14	14:30:00	96042	96257	95472	95607	97779	343781	1
2020.05.14	14:45:00	95607	95680	94498	94798	105457	412702	1
2020.05.14	15:00:00	94798	94816	93719	94338	143132	544530	1
2020.05.14	15:15:00	94338	95386	94265	95288	106788	362976	1
2020.05.14	15:30:00	95282	95779	94816	95172	125055	443252	1
2020.05.14	15:45:00	95166	95540	94994	95251	91197	311201	1
2020.05.14	16:00:00	95258	95797	95153	95601	110362	371030	1
2020.05.14	16:15:00	95601	95895	95325	95619	88491	295116	1
2020.05.14	16:30:00	95625	95969	95239	95926	94124	317153	1
2020.05.14	16:45:00	95926	97010	95907	96949	128159	454707	1
2020.05.14	17:00:00	96943	97170	96808	97041	54117	187758	1
2020.05.14	17:15:00	97047	97384	96820	97280	51333	171799	1
2020.05.14	17:30:00	97274	97482	97231	97292	30721	99826	1
2020.05.14	17:45:00	97286	97476	97268	97329	14139	50031	1
2020.05.15	09:00:00	96355	97323	96306	96974	118140	344804	1
2020.05.15	09:15:00	96968	97017	96453	96612	112126	319932	1
2020.05.15	09:30:00	96618	96857	96048	96557	162249	448677	1
2020.05.15	09:45:00	96557	96667	96269	96440	87598	249931	1
2020.05.15	10:00:00	96447	96845	96134	96624	144841	440792	1
2020.05.15	10:15:00	96630	97323	96618	96906	159291	469925	1
2020.05.15	10:30:00	96912	97347	96269	97035	211557	654130	1
2020.05.15	10:45:00	97035	97691	96808	97262	145599	471146	1
2020.05.15	11:00:00	97268	97507	96778	97102	155477	459009	1
2020.05.15	11:15:00	97108	97280	96483	96778	117965	362023	1
2020.05.15	11:30:00	96778	97010	96532	96661	107339	335001	1
2020.05.15	11:45:00	96655	96808	95540	95864	160417	531239	1
2020.05.15	12:00:00	95864	95944	95362	95540	154457	503102	1
2020.05.15	12:15:00	95546	95693	94816	95441	149201	490515	1
2020.05.15	12:30:00	95441	95864	95215	95448	94176	320280	1
2020.05.15	12:45:00	95448	95723	95276	95472	69232	239118	1
2020.05.15	13:00:00	95478	96060	95411	95889	85698	284237	1
2020.05.15	13:15:00	95895	96293	95785	95950	80684	255261	1
2020.05.15	13:30:00	95944	96189	95791	95895	64806	205504	1
2020.05.15	13:45:00	95895	95944	95441	95748	99301	315838	1
2020.05.15	14:00:00	95748	96134	95693	95913	76661	246178	1
2020.05.15	14:15:00	95920	96060	95693	95999	59519	182447	1
2020.05.15	14:30:00	96005	96109	95760	95883	64625	209529	1
2020.05.15	14:45:00	95883	96011	95460	95932	90200	286207	1
2020.05.15	15:00:00	95938	96465	95883	96128	97065	311832	1
2020.05.15	15:15:00	96134	96263	96005	96103	52777	169879	1
2020.05.15	15:30:00	96103	96128	95558	95601	101756	332371	1
2020.05.15	15:45:00	95601	95932	95331	95435	90168	313687	1
2020.05.15	16:00:00	95441	96030	95258	95956	101052	337913	1
2020.05.15	16:15:00	95950	96122	95772	96011	67404	230875	1
2020.05.15	16:30:00	95999	96152	95576	95650	73423	253312	1
2020.05.15	16:45:00	95650	95760	95405	95472	65864	234622	1
2020.05.15	17:00:00	95472	95497	94970	95270	72904	257888	1
2020.05.15	17:15:00	95270	95343	94718	94908	58825	192390	1
2020.05.15	17:30:00	94908	95319	94884	95153	46309	145489	1
2020.05.15	17:45:00	95166	95515	95068	95104	24002	72236	1
2020.05.18	09:00:00	97488	98138	97305	98071	95703	281729	1
2020.05.18	09:15:00	98071	98359	97979	98224	74849	222174	1
2020.05.18	09:30:00	98224	98438	98126	98291	62054	184104	1
2020.05.18	09:45:00	98285	98457	98255	98285	55058	171037	1
2020.05.18	10:00:00	98285	98702	98279	98365	111955	332537	1
2020.05.18	10:15:00	98371	98579	98205	98561	101451	300401	1
2020.05.18	10:30:00	98555	98953	98475	98494	151935	482350	1
2020.05.18	10:45:00	98500	98635	98218	98408	109623	362156	1
2020.05.18	11:00:00	98414	98463	97942	98218	127644	435236	1
2020.05.18	11:15:00	98218	98389	98095	98181	80339	279541	1
2020.05.18	11:30:00	98181	98635	98077	98628	92985	315230	1
2020.05.18	11:45:00	98628	98665	98426	98463	66733	223729	1
2020.05.18	12:00:00	98457	98622	98395	98506	53760	196712	1
2020.05.18	12:15:00	98500	98536	98279	98500	72789	259981	1
2020.05.18	12:30:00	98494	98506	98187	98199	58575	211604	1
2020.05.18	12:45:00	98205	98402	98156	98248	53024	194070	1
2020.05.18	13:00:00	98255	98567	98022	98438	94282	334222	1
2020.05.18	13:15:00	98432	98592	98328	98463	48888	176918	1
2020.05.18	13:30:00	98469	98867	98346	98518	83756	315736	1
2020.05.18	13:45:00	98518	98996	98438	98874	67285	252588	1
2020.05.18	14:00:00	98874	99560	98849	99542	112360	411721	1
2020.05.18	14:15:00	99542	99848	99480	99652	110481	433340	1
2020.05.18	14:30:00	99652	99713	99437	99523	69337	262281	1
2020.05.18	14:45:00	99523	99885	99480	99670	80040	300233	1
2020.05.18	15:00:00	99670	99756	99493	99640	56986	222585	1
2020.05.18	15:15:00	99640	99664	99431	99554	54004	209980	1
2020.05.18	15:30:00	99554	99774	99327	99388	82508	305381	1
2020.05.18	15:45:00	99382	99529	99303	99382	65028	241783	1
2020.05.18	16:00:00	99388	99713	99364	99640	73899	290905	1
2020.05.18	16:15:00	99646	99958	99572	99646	82147	321857	1
2020.05.18	16:30:00	99640	100062	99554	99952	87978	353624	1
2020.05.18	16:45:00	99946	100007	99664	99683	66827	276833	1
2020.05.18	17:00:00	99683	99872	99664	99750	43856	158398	1
2020.05.18	17:15:00	99756	99922	99732	99781	29018	114801	1
2020.05.18	17:30:00	99774	99805	99542	99756	38954	140718	1
2020.05.18	17:45:00	99768	99885	99640	99885	19655	76072	1
2020.05.19	09:00:00	99732	99774	99211	99315	87758	228979	1
2020.05.19	09:15:00	99309	99584	99284	99486	75675	213943	1
2020.05.19	09:30:00	99486	100118	99431	100056	147750	436151	1
2020.05.19	09:45:00	100050	100179	99915	100032	85511	259453	1
2020.05.19	10:00:00	100026	100240	99548	99952	175952	558191	1
2020.05.19	10:15:00	99958	100007	99566	99597	117946	382347	1
2020.05.19	10:30:00	99597	99670	99008	99211	169734	598299	1
2020.05.19	10:45:00	99204	99652	98898	99597	135024	454007	1
2020.05.19	11:00:00	99591	100406	99591	100259	147126	522812	1
2020.05.19	11:15:00	100252	100479	99830	100167	147715	498888	1
2020.05.19	11:30:00	100167	100369	99713	99762	112526	394366	1
2020.05.19	11:45:00	99768	100363	99609	100259	118961	399523	1
2020.05.19	12:00:00	100259	100308	99952	100105	79467	269421	1
2020.05.19	12:15:00	100105	100706	100099	100516	113926	402661	1
2020.05.19	12:30:00	100510	100608	100338	100375	58235	199799	1
2020.05.19	12:45:00	100381	100559	100357	100467	45406	162654	1
2020.05.19	13:00:00	100461	100749	100387	100700	53469	195145	1
2020.05.19	13:15:00	100694	100939	100412	100430	75477	257053	1
2020.05.19	13:30:00	100430	100430	100197	100277	60387	200805	1
2020.05.19	13:45:00	100283	100534	100210	100516	54333	177804	1
2020.05.19	14:00:00	100516	100553	100314	100449	45144	153285	1
2020.05.19	14:15:00	100449	100663	100338	100442	59920	200953	1
2020.05.19	14:30:00	100436	100498	100295	100485	55188	189177	1
2020.05.19	14:45:00	100485	100547	100001	100130	79343	274393	1
2020.05.19	15:00:00	100124	100148	99842	100050	84963	297528	1
2020.05.19	15:15:00	100056	100210	99995	100038	51089	179400	1
2020.05.19	15:30:00	100044	100504	99971	100332	68419	245008	1
2020.05.19	15:45:00	100338	100583	99670	99787	112306	416070	1
2020.05.19	16:00:00	99787	100216	99652	99983	116179	462255	1
2020.05.19	16:15:00	99983	100161	99499	99621	107318	414146	1
2020.05.19	16:30:00	99615	99695	99211	99486	95817	378819	1
2020.05.19	16:45:00	99493	99609	98916	99014	79847	314923	1
2020.05.19	17:00:00	99027	99186	98824	99021	48803	178640	1
2020.05.19	17:15:00	99027	99113	98751	98874	32236	107746	1
2020.05.19	17:30:00	98880	99014	98775	98972	23202	78137	1
2020.05.19	17:45:00	98972	99198	98935	99162	14878	50935	1
2020.05.20	09:00:00	100062	100289	99872	100173	76504	198845	1
2020.05.20	09:15:00	100173	100326	100050	100154	63511	168420	1
2020.05.20	09:30:00	100148	100259	99836	100075	83995	241924	1
2020.05.20	09:45:00	100081	100179	99879	100075	64068	197075	1
2020.05.20	10:00:00	100069	100424	99793	100418	116723	369568	1
2020.05.20	10:15:00	100418	100467	100154	100252	91363	272400	1
2020.05.20	10:30:00	100246	100455	99774	100087	164225	564800	1
2020.05.20	10:45:00	100087	100608	100044	100430	119364	417395	1
2020.05.20	11:00:00	100424	100816	100357	100663	107772	357492	1
2020.05.20	11:15:00	100669	101043	100510	100792	114784	388407	1
2020.05.20	11:30:00	100786	100988	100688	100829	78927	277690	1
2020.05.20	11:45:00	100829	100963	100706	100835	57739	215242	1
2020.05.20	12:00:00	100835	101000	100583	100810	74605	254726	1
2020.05.20	12:15:00	100816	100865	100596	100780	56561	193764	1
2020.05.20	12:30:00	100773	100798	100534	100602	54716	201148	1
2020.05.20	12:45:00	100602	100626	100185	100271	71477	263171	1
2020.05.20	13:00:00	100277	100326	99695	99866	115659	459465	1
2020.05.20	13:15:00	99860	99971	99315	99560	86913	342920	1
2020.05.20	13:30:00	99554	99658	99247	99493	64843	254447	1
2020.05.20	13:45:00	99486	99854	99413	99744	77511	271146	1
2020.05.20	14:00:00	99750	99971	99584	99670	83414	288432	1
2020.05.20	14:15:00	99664	99713	99450	99578	61586	232140	1
2020.05.20	14:30:00	99572	99768	99382	99732	69934	258925	1
2020.05.20	14:45:00	99738	99989	99683	99811	67814	242410	1
2020.05.20	15:00:00	99805	99915	99450	99597	82433	315482	1
2020.05.20	15:15:00	99597	99793	99186	99707	88541	356184	1
2020.05.20	15:30:00	99707	100259	99689	100142	93680	337234	1
2020.05.20	15:45:00	100142	100314	99977	100148	70391	261965	1
2020.05.20	16:00:00	100148	100222	99805	99891	76358	280915	1
2020.05.20	16:15:00	99891	100038	99695	100013	69171	256298	1
2020.05.20	16:30:00	100013	100081	99805	100001	54222	190169	1
2020.05.20	16:45:00	100001	100050	99621	99658	72055	262085	1
2020.05.20	17:00:00	99658	99774	99462	99535	43298	155833	1
2020.05.20	17:15:00	99535	99854	99511	99701	36378	120993	1
2020.05.20	17:30:00	99695	99946	99646	99909	27276	94177	1
2020.05.20	17:45:00	99922	100081	99897	100038	13745	50151	1
2020.05.21	09:00:00	99388	99633	99131	99603	79152	198467	1
2020.05.21	09:15:00	99597	99995	99529	99805	88804	255088	1
2020.05.21	09:30:00	99811	100112	99781	100062	85099	239639	1
2020.05.21	09:45:00	100069	100161	99995	100099	58145	173142	1
2020.05.21	10:00:00	100099	100283	99928	100265	105371	348939	1
2020.05.21	10:15:00	100265	100718	100154	100645	119802	395626	1
2020.05.21	10:30:00	100645	101613	100491	101533	175778	648924	1
2020.05.21	10:45:00	101533	101680	101184	101380	106050	397755	1
2020.05.21	11:00:00	101380	102189	101325	102060	120083	454560	1
2020.05.21	11:15:00	102048	102336	101742	101748	118935	402603	1
2020.05.21	11:30:00	101748	102024	101423	102018	121973	444387	1
2020.05.21	11:45:00	102024	102085	101515	101521	75739	276647	1
2020.05.21	12:00:00	101521	101527	101043	101233	110846	390125	1
2020.05.21	12:15:00	101233	101239	100804	101110	92987	337229	1
2020.05.21	12:30:00	101104	101711	101061	101362	100758	353846	1
2020.05.21	12:45:00	101368	101460	101043	101196	63526	221048	1
2020.05.21	13:00:00	101196	101472	101012	101251	75927	247055	1
2020.05.21	13:15:00	101245	101411	101025	101202	59588	214878	1
2020.05.21	13:30:00	101202	101245	100847	101049	83005	296003	1
2020.05.21	13:45:00	101049	101227	100871	101000	66567	244968	1
2020.05.21	14:00:00	100994	101460	100890	101386	91625	350488	1
2020.05.21	14:15:00	101392	101484	101178	101331	61413	213245	1
2020.05.21	14:30:00	101337	101527	101196	101527	59713	218645	1
2020.05.21	14:45:00	101527	101693	101435	101613	75019	263802	1
2020.05.21	15:00:00	101613	102036	101552	101962	85703	314519	1
2020.05.21	15:15:00	101968	102079	101766	101877	60518	223082	1
2020.05.21	15:30:00	101883	101901	101625	101748	54254	199563	1
2020.05.21	15:45:00	101742	101742	101454	101527	75843	278682	1
2020.05.21	16:00:00	101527	101828	101521	101797	65434	234223	1
2020.05.21	16:15:00	101797	102122	101760	101938	87945	316851	1
2020.05.21	16:30:00	101944	102018	101638	101754	72445	290448	1
2020.05.21	16:45:00	101754	102011	101625	101840	66480	268965	1
2020.05.21	17:00:00	101840	101975	101736	101766	38589	149224	1
2020.05.21	17:15:00	101766	101968	101680	101883	34297	116920	1
2020.05.21	17:30:00	101877	101907	101650	101772	30256	123256	1
2020.05.21	17:45:00	101772	102079	101736	102079	16503	67584	1
2020.05.22	09:00:00	101729	102165	101288	101417	111323	300200	1
2020.05.22	09:15:00	101417	101441	101166	101288	81595	222503	1
2020.05.22	09:30:00	101294	101374	101135	101300	71657	204088	1
2020.05.22	09:45:00	101300	101429	100449	100485	128935	376671	1
2020.05.22	10:00:00	100485	101172	100301	100865	178409	581358	1
2020.05.22	10:15:00	100859	101448	100590	100890	157379	475770	1
2020.05.22	10:30:00	100896	101031	100265	100277	195582	681760	1
2020.05.22	10:45:00	100283	100681	100130	100473	114853	412313	1
2020.05.22	11:00:00	100473	100596	100185	100424	96896	321959	1
2020.05.22	11:15:00	100424	100884	100320	100583	107114	344860	1
2020.05.22	11:30:00	100583	101043	100455	100853	100998	328160	1
2020.05.22	11:45:00	100853	101000	100485	100675	82919	274904	1
2020.05.22	12:00:00	100675	101239	100577	101043	104773	345182	1
2020.05.22	12:15:00	101037	101147	100700	100792	77050	254331	1
2020.05.22	12:30:00	100786	100810	100583	100718	63271	205941	1
2020.05.22	12:45:00	100712	101135	100663	101000	70755	220133	1
2020.05.22	13:00:00	101000	101098	100829	100994	52951	171817	1
2020.05.22	13:15:00	100988	101441	100890	101386	77800	250156	1
2020.05.22	13:30:00	101380	101490	101258	101313	54593	169770	1
2020.05.22	13:45:00	101313	101392	101123	101239	49802	150935	1
2020.05.22	14:00:00	101245	101264	101049	101160	48949	158022	1
2020.05.22	14:15:00	101160	101380	101012	101129	76856	247140	1
2020.05.22	14:30:00	101135	101178	100700	100786	80858	247636	1
2020.05.22	14:45:00	100780	101239	100669	101110	83515	279599	1
2020.05.22	15:00:00	101117	101190	100755	100773	77198	268090	1
2020.05.22	15:15:00	100773	100927	100669	100749	68198	241981	1
2020.05.22	15:30:00	100749	100835	100363	100442	86798	296785	1
2020.05.22	15:45:00	100436	100602	100344	100485	48122	161709	1
2020.05.22	16:00:00	100485	100731	100418	100485	64621	214985	1
2020.05.22	16:15:00	100485	100620	100289	100565	65743	229043	1
2020.05.22	16:30:00	100559	100737	100436	100706	58634	209029	1
2020.05.22	16:45:00	100706	101061	100583	100970	77961	264633	1
2020.05.22	17:00:00	100976	102134	99897	101778	171853	507872	1
2020.05.22	17:15:00	101785	102918	101631	102667	117297	320699	1
2020.05.22	17:30:00	102667	103243	102312	102661	89063	236977	1
2020.05.22	17:45:00	102661	103439	102532	103341	36611	98263	1
2020.05.25	09:00:00	104487	105008	104071	104083	103357	257742	1
2020.05.25	09:15:00	104077	104481	103850	104291	108779	269920	1
2020.05.25	09:30:00	104291	104457	104015	104071	82380	216887	1
2020.05.25	09:45:00	104064	104604	103985	104383	119033	311920	1
2020.05.25	10:00:00	104383	104383	103905	104144	115042	307205	1
2020.05.25	10:15:00	104138	104493	104052	104389	124212	340115	1
2020.05.25	10:30:00	104389	104402	104064	104169	85014	241773	1
2020.05.25	10:45:00	104175	104340	104028	104230	79380	240091	1
2020.05.25	11:00:00	104230	104665	104205	104634	92865	258198	1
2020.05.25	11:15:00	104634	104757	104543	104610	81715	224769	1
2020.05.25	11:30:00	104604	104665	104383	104451	74744	204795	1
2020.05.25	11:45:00	104451	104585	104408	104567	59066	164209	1
2020.05.25	12:00:00	104561	104616	104402	104573	61766	178583	1
2020.05.25	12:15:00	104579	104782	104530	104775	69408	197268	1
2020.05.25	12:30:00	104775	105045	104745	104831	82067	245106	1
2020.05.25	12:45:00	104824	104886	104187	104818	45697	134139	1
2020.05.25	13:00:00	104818	104831	104659	104714	47222	148240	1
2020.05.25	13:15:00	104714	104726	104506	104616	43648	119344	1
2020.05.25	13:30:00	104616	104708	104524	104653	42985	118574	1
2020.05.25	13:45:00	104653	104745	104432	104506	62614	172277	1
2020.05.25	14:00:00	104506	104616	104334	104536	71316	195989	1
2020.05.25	14:15:00	104536	105027	104493	104818	94593	268183	1
2020.05.25	14:30:00	104818	104935	104739	104873	45166	126767	1
2020.05.25	14:45:00	104873	104886	104622	104714	54288	152539	1
2020.05.25	15:00:00	104720	104886	104647	104849	49791	139134	1
2020.05.25	15:15:00	104843	104922	104763	104818	38310	105141	1
2020.05.25	15:30:00	104824	105155	104818	105039	67027	205761	1
2020.05.25	15:45:00	105039	105198	104947	105162	64230	186779	1
2020.05.25	16:00:00	105168	105272	105063	105204	49765	139640	1
2020.05.25	16:15:00	105198	105437	105125	105388	72109	210120	1
2020.05.25	16:30:00	105388	105431	105082	105198	71752	206271	1
2020.05.25	16:45:00	105204	105321	105070	105149	57710	174593	1
2020.05.25	17:00:00	105149	105554	105070	105364	68356	205441	1
2020.05.25	17:15:00	105370	105505	105235	105474	35886	105411	1
2020.05.25	17:30:00	105474	105535	105352	105364	31223	91304	1
2020.05.25	17:45:00	105358	105450	105223	105425	23640	64274	1
2020.05.26	09:00:00	106246	106516	106032	106393	85261	218744	1
2020.05.26	09:15:00	106387	106871	106344	106847	117049	316780	1
2020.05.26	09:30:00	106847	107000	106761	106829	86002	235899	1
2020.05.26	09:45:00	106829	107098	106724	106896	112080	316770	1
2020.05.26	10:00:00	106896	107153	106798	107092	91469	277047	1
2020.05.26	10:15:00	107086	107184	106822	106853	107471	311853	1
2020.05.26	10:30:00	106853	106920	106271	106461	195756	581195	1
2020.05.26	10:45:00	106467	106681	106308	106571	126214	355191	1
2020.05.26	11:00:00	106565	106657	106210	106467	128272	386564	1
2020.05.26	11:15:00	106467	106835	106259	106829	134845	388261	1
2020.05.26	11:30:00	106829	106914	106491	106504	109076	306884	1
2020.05.26	11:45:00	106504	106626	106338	106596	97598	296201	1
2020.05.26	12:00:00	106589	106694	106160	106191	105232	330581	1
2020.05.26	12:15:00	106191	106228	105566	105781	144479	458346	1
2020.05.26	12:30:00	105787	105872	105235	105505	118480	377716	1
2020.05.26	12:45:00	105499	105719	105333	105394	95229	296201	1
2020.05.26	13:00:00	105401	105566	105253	105413	81474	256272	1
2020.05.26	13:15:00	105413	105437	104959	105100	83239	271232	1
2020.05.26	13:30:00	105100	105511	105100	105382	80135	253519	1
2020.05.26	13:45:00	105382	105627	105260	105554	76057	226124	1
2020.05.26	14:00:00	105554	105762	105456	105492	78739	231328	1
2020.05.26	14:15:00	105492	105823	105309	105811	96913	310702	1
2020.05.26	14:30:00	105811	105891	105499	105578	70886	220539	1
2020.05.26	14:45:00	105584	105584	105241	105260	89225	292127	1
2020.05.26	15:00:00	105253	105431	105204	105382	62382	196878	1
2020.05.26	15:15:00	105388	105664	105143	105143	104385	358635	1
2020.05.26	15:30:00	105143	105186	104855	104990	115246	394546	1
2020.05.26	15:45:00	104996	105511	104922	105486	82607	279238	1
2020.05.26	16:00:00	105480	105676	105309	105499	94725	309708	1
2020.05.26	16:15:00	105505	105548	105198	105198	69249	225293	1
2020.05.26	16:30:00	105198	105480	104696	104769	111119	382727	1
2020.05.26	16:45:00	104769	105021	104628	104922	99986	330350	1
2020.05.26	17:00:00	104916	105284	104843	105266	65827	210386	1
2020.05.26	17:15:00	105266	105315	105039	105112	39475	119731	1
2020.05.26	17:30:00	105119	105302	105076	105223	34854	102184	1
2020.05.26	17:45:00	105217	105597	105180	105517	23653	75290	1
